file,sent_id,type,before_context,ours,reference,after_context,accept
br-a02,ssFA,replace,failure to enact it would,"""amount to","amount ""to",making a gift out of,
br-a02,PfTV,replace,soon between Reps. V. E.,Red,(Red),Berry and Joe Ratcliff. While,
br-a03,bIIX,replace,involved persons who had been,"subpoenaed,","subpenaed,",he would dismiss them. President,
br-a10,VnUv,replace,entering the United States every,1 - 1 2,1-1/2,"minutes, he said ""our organization",
br-a10,9HfG,replace,that a defendant actually have,conspired,conpired,to use the U.S. mails,
br-a11,M5Za,replace,were to end their victory,drought,draought,as they coasted along with,
br-a11,llCs,replace,"frames, Jack Fisher, the big",righthander,righthandler,who figures to be in,
br-a11,u1fy,replace,"scattered hits. Then Dick Hyde,",submarine ball,submarine-ball,"hurler, entered the contest and",
br-a11,u1fy,replace,him before there existed a,3 - to 3,3-to-3,deadlock. A two run homer,
br-a11,i79V,replace,- to 3 deadlock. A,two run,two-run,homer by Norm Siebern and,
br-a11,mMoG,replace,fanned after fouling off two,2 - and 2,2-and-2,"pitches, and Buddy Barker, up",
br-a11,mMoG,replace,at second to end the,2 - hour and - 27 - minute,2-hour-and-27-minute,contest. The Orioles got a,
br-a11,RdkN,replace,"at 49 players. The big,",22 - year old,22-year-old,"shortstop, the 1960 American league",
br-a11,RdkN,replace,"shortstop, the 1960 American league","""rookie of the","""rookie-of-the","year"", flew here late this",
br-a11,RdkN,replace,was a spectator at tonight's,5 - to 3,5-to-3,loss to Kansas City- the,
br-a11,TL0+,replace,are the probable rival pitchers.,Twenty-one year old,Twenty-one-year-old,"Milt Pappas and Jerry Walker,",
br-a11,AFmU,replace,"at Fort Knox, Ky.. The",22 - year old,22-year-old,southpaw enlisted earlier last fall,
br-a11,0C0W,replace,the plate and bounced a,third inning two run,third-inning two-run,double off the left centerfield,
br-a11,0C0W,replace,two run double off the,left centerfield,left-centerfield,wall tonight. It was the,
br-a11,OZA4,replace,the wing of the plane.,Ex Oriole,Ex-Oriole,"Clint Courtney, now catching for",
br-a11,zeLF,replace,"her second straight victory, Norman","B. Small ,","B., Small,","Jr.'s Garden Fresh, a 3",
br-a11,zeLF,replace,", Jr.'s Garden Fresh, a",3 - year old,3-year-old,"filly, downed promising colts in",
br-a11,XaJR,replace,"claiming event. George Kerr, the",swift striding,swift-striding,"Jamaican, set a meet record",
br-a11,tZhF,replace,"slender, bespectacled woman broke the",one week old,one-week-old,world record in the half-mile,
br-a11,zhI7,replace,"Butcher, of nearby Chardon, a",27 - year old,27-year-old,"housewife who has two children,",
br-a11,nUo1,replace,four unearned runs and a,5 - to 2,5-to-2,victory to the Chicago White,
br-a12,K4d9,replace,"still every time Moritz, a",26 - year old,26-year-old,"Army Signal Corps veteran, goes",
br-a12,I8sy,replace,Saturday over Oklahoma in the,cotton bowl.,Cotton Bowl.,That's because he already has,
br-a12,1XVn,replace,"you'll get the quick response,","""place kicker"".","""place-kicker"".","A 208-pound, 6-foot 1-inch senior",
br-a12,zc9V,replace,turn around. He really crucified,him. He,him he,nailed it for a yard,
br-a12,kalw,replace,-Held out of Texas Tech's,sweat suits,sweat-suits,drill Monday at Lubbock was,
br-a12,kalw,replace,Raiders' 38-7 loss to Texas,A&M.,A&M,Because of its important game,
br-a12,BRUk,replace,rain Monday- mud or no,mud.,mud,"End Gene Raesz, who broke",
br-a12,VBFa,replace,week's idleness with an ankle,injury.,injury,The Texas Aggies got a,
br-a12,sd5n,replace,would not play against Trinity,Saturday.,Saturday,"Halfback Bud Priddy, slowed for",
br-a12,l8oD,replace,almost a month by a,slowly mending,slowly-mending,"sprained ankle, joined TCU's workout",
br-a12,lUhT,replace,a productive pair in two,ex National,ex-National,"Football Leaguers, M. C. Reynolds",
br-a12,nXLQ,replace,"injury. ""Our interior line and",our,out,"linebackers played exceptionally well"", said",
br-a13,hiVy,replace,Bear's attack. After Al Paschal,grounded,gruonded,"out, Jay Cooke walked and",
br-a13,UDfL,replace,three of the Tribe's eight,hits.,hits,It was the season's first,
br-a13,BAvC,replace,of the lights are in,order.,order,The infield was well flooded,
br-a13,iGpG,replace,expanded outfield was much too,dark.,dark,Mary Dobbs Tuttle was back,
br-a13,WOoc,replace,Tuttle was back at the,organ.,organ,Among the spectators was the,
br-a13,oHxg,replace,Tsitouris at 8 o'clock Tuesday,night.,night,Ed Donnelly is still bothered,
br-a13,BaLX,replace,"A double by Green, Allison's","run scoring 2 baser,","run-scoring 2-baser,",an infield single by Lemon,
br-a13,PwMy,replace,over the weekend what with,40 - year old,40-year-old,Warren Spahn pitching his no-hit,
br-a13,PwMy,replace,Willie Mays retaliating with a,record tying 4 - homer,record-tying 4-homer,"spree Sunday. Both, of course,",
br-a13,0HWu,replace,who have moved past the,2 - score year,2-score-year,milestone. And one of the,
br-a13,4Cil,replace,"I was 40, and a",top grade,top-grade,big leaguer. THE MODEST AND,
br-a13,381t,replace,National fan and anti or,pro Yankee.,pro-Yankee.,"The record books, however, would",
br-a13,67Xz,replace,"manager. Only Bucky Harris, the","""boy manager""","""boy-manager""","of Washington in 1924, and",
br-a14,PB3W,replace,"achievement award"" to William A.",Bill,(Bill),"Shea, the awards list was",
br-a14,PB3W,replace,"the New York Chapter, Baseball",Writers,Writers',"Association of America, at the",
br-a14,6nNQ,replace,"skit, dance and song. The",53 - year old,53-year-old,"Shea, a prominent corporation lawyer",
br-a14,8MdI,replace,a monstrous 12 on a,par 5,par-5,hole. It made him human.,
br-a14,Cbdv,replace,again and once more sliced,out-of-bounds.,out of bounds.,He hooked the next two,
br-a14,DWL+,replace,He hooked the next two,out-of-bounds,out of bounds,"on the opposite side. ""It",
br-a14,A/BA,replace,"""It is possible that I","over corrected"",","over-corrected"",",he said ruefully. Each of,
br-a14,Q71v,replace,fourteen-team league to play a,home and home,home-and-home,series with teams in its,
br-a15,/xnm,replace,seventh anniversary of his record,five home,five-home,run day against the Giants.,
br-a16,Ee26,replace,professional tennis matches at 8,p.m. .,p. m..,With loud huzzahs for the,
br-a16,VjfD,replace,"Come Back"", and ""Flower Drum","Song "".","Song"".",Whee the People: Lovely Thrush,
br-a16,z2S0,replace,fly to collect his honor.,Hmpf.,Hmpf,But on to the frothier,
br-a16,KRw4,replace,But on to the frothier,"side,",side,"Johnny Weissmuller, the only real",
br-a17,GLh9,replace,Denton was her sister's maid,of,or,"honor, and Vernon Lewelleyn of",
br-a19,SxeV,replace,"A.M., when police reached the",1 - 1 2 - story,1-1/2-story,brick home in the Franklin,
br-a21,5mC9,replace,at 4:05 p.m. after almost,13 - 1 2,13-1/2,"hours of deliberation. The jury,",
br-a22,qtpU,replace,and nonviolent means at our,"disposal"".","disposal""",A prepared statement released by,
br-a22,7/6l,replace,theaters causes a drop in,"profits"".","profits""","Besides managers of downtown theaters,",
br-a27,U+6e,replace,of $60 million worth of,4 - 7 8,4-7/8,"debentures, due June 1, 1986,",
br-a27,U+6e,replace,"100%, and $60 million of",4 - 1 2%,4-1/2%,convertible subordinated debentures due June,
br-a27,SzhU,replace,Monday's 1.58 million. Gains of,2 - 3 4,2-3/4,were posted for Teleprompter and,
br-a27,z+3u,replace,Camera and Kawecki Chemical gained,2 - 1 2,2-1/2,each. I bought 50 shares,
br-a28,ZsDf,replace,higher rate in the year,received.,received.#@#,The owner of a public,
br-a31,kuW5,replace,and stick to our community,singing. Andy Bartha,"singing, #ELSEWHERE# ANDY BARTHA",and his trio have booked,
br-a31,sGR0,replace,trio have booked into Oceania,Lounge. The,Lounge the,"Cumbancheros, Latin combo, open Tuesday",
br-a31,yv0u,replace,open Tuesday at the Four,O' Clock Club.,O'Clock Club,"""Flip"" Phillips for a return",
br-a31,Rwae,replace,LaSalle trio to the Jolly,Roger.,Roger,Dick Carroll and his accordion,
br-a31,xB20,replace,Restaurant on Sunman Restaurant on,Sunrise.,Sunrise,Louise Franklin cornering the gift,
br-a31,ChZV,replace,the Governor's Club Hotel this,week.,week,Sunday New Orleans brunches continue,
br-a31,x/Wk,replace,French buffets have been called,off.,off,Mackey Airline's new Sunshine Inn,
br-a31,1ZvD,replace,"this month, according to Hank",Johnson.,Johnson,Student Prince Lounge on Atlantic,
br-a31,zrva,replace,"""festival"" throughout October, with special",features.,features,Don Drinkhouse of Pal's Restaurant,
br-a31,FeTX,replace,"drums, hasn't seen his chum",since.,since,Steak House has such a,
br-a31,PS8J,replace,"ever sampled the exotic, peppery",fare). Pualani,fare.) #FACES IN PLACES# PUALANI,"and Randy Avon, Dave Searles,",
br-a31,mVFw,replace,Bob Neil at the Mouse,trap.,trap,Billy and Jean Moffett at,
br-a31,iuNK,replace,and Jean Moffett at the,Rickshaw.,Rickshaw,"Bea Morley, Jimmy Fazio, Jim",
br-a31,gqoM,replace,follow the program at 7:45,p.m. . The outstanding,p.m.. THE OUTSTANDING,family of Central Nazarene Church,
br-a32,ywOb,delete,"Omsk, Miss Pinsk, Miss Stalingr",-,,"oops, skip it. These qualities",
br-a32,HS88,replace,the USSR (Channel 9 at,9:30).,9:30),Person to Person ventilates the,
br-a32,/Nl0,replace,Southern California (Channel 5 at,10:30).,10:30),KQED Summer Music Festival features,
br-a32,zzLJ,replace,were happy to see me.,""" Tires","""Tires",OK? Check the oil and,
br-a33,mEZA,delete,undertaken the redecoration of the,*,,White House library as a,
br-a33,GXQT,replace,"of serious music"". He added","""I",""" I",think that sometimes in this,
br-a33,oeVM,replace,Rembrandt's self-portrait made him look,"""sad"". They","""sad"" they",noticed Roman buildings in the,
br-a33,DyuP,replace,to have a full-time music,"director,",director,"Richard Bales, I'm sure you've",
br-a33,DyuP,replace,"a full-time music director, Richard","Bales,",Bales,I'm sure you've heard af,
br-a33,8xY8,replace,on its threshold at 1733,16 th st.nw.,16th st. nw.,took on bustling life yesterday.,
br-a35,fxXL,replace,oft-repeated phrase) 'the attainment of,"excellence '"".","excellence'"".",The pattern here pictured is,
br-a36,5D1w,replace,,Sen. John. McClellan,SEN. JOHN L. McCLELLAN,of Arkansas and Rep. David,
br-a36,GE45,replace,back in 1937. He wrote:,"""","""(P. 211)",the anti-trust laws were the,
br-a36,lmID,replace,exactly that- a commodity- in,eighteenth -,eighteenth-,and nineteenth-century America. As early,
br-a36,ynXj,replace,"Loewe Company for monopolistic practices,","e. g.,","e.g.,",trying to persuade consumers not,
br-a39,UMIn,replace,incredibly muscular (he has a,17 - 1 2 - inch,17-1/2-inch,"neck), looks bigger. With their",
br-a39,1d9W,replace,"me, looks up, and says:","' You stunk '"".","'You stunk'"".","Maris, in talking to reporters,",
br-a39,MY6T,replace,which he once did for,87 - 1 2,87-1/2,"cents an hour, paid more",
br-a40,a03a,replace,"Khrushchev's most enthusiastic eulogizers, the",U.S.S.R.'sdaily,U.S.S.R.'s daily,"Izvestia, enterprisingly interviewed Red-prone Comedian",
br-a40,+EQJ,replace,"College, where he is a",B +,B&,student and star halfback. Charlayne,
br-a41,c/u/,replace,puzzle out the meaning of,""" la chatte ""","""la chatte""","and "" le chien """,
br-a41,c/u/,replace,""" la chatte "" and",""" le chien ""","""le chien""",and write his name. Some,
br-a41,q6ei,replace,"sang!"" (Not one drop of",blood!) .,blood!).,The Belgians would not fight,
br-a41,FhAO,replace,well-armed members of the Force,Publique -,Publique-,many of them drawn from,
br-a42,9SqO,replace,"hired a $10,000-per-year French-born maitre",d' hotel.,d'hotel.,,
br-a43,1+kw,replace,"at Europe's factories, thinks the",U. S.,U.S.,"is in a ""very serious",
br-a43,J9/T,replace,"plant, and you learn this:",""" One,","""One,",modern equipment- much of it,
br-a43,M73R,replace,half of these are exported.,""" Two,","""Two,",wage costs are a fraction,
br-a43,hGMP,replace,"example, earns $37 a week.",""" Three,","""Three,",labor troubles are infrequent. Fiat,
br-a43,umTw,replace,the U.S. balance of payments.,""" Hodges","""Hodges",predicted: 'I think we will,
br-a43,fdEZ,replace,use their vigor and new,"ideas '"".","ideas'"".",Foreign competition has become so,
br-a43,8pWn,replace,exports of textiles to the,U. S. .,U.S..,"Hong Kong, India and Pakistan",
br-a43,837B,replace,to increase exports to the,U. S.,U.S.,While they have been curbing,
br-a43,7PKI,replace,by rail from nearby mines.,U. S.,U.S.,"coal is cheap, despite high",
br-a43,qUjN,replace,and very deep. Productivity of,U. S.,U.S.,miners is twice that of,
br-b01,hD5O,replace,be needed. The NCTA is,well-advised,well advised,to seek funds for this,
br-b02,sEGt,replace,in Laos is peace not,war. A,war a,truly neutral government not a,
br-b02,mSvO,replace,and the House has let,f,them,die. But f year prospects,
br-b02,MwEE,replace,has let f die. But,f,this,year prospects may be better.,
br-b08,n3AN,replace,"no-o! Why, he's so darling","and ... "". "" I mean "",","and"" ""I mean"",","I went on ruthlessly, ""when",
br-b08,dzyg,replace,"wrote, "" for he becomes","ordinary "".","ordinary"".",And so the young minister,
br-b09,zzq4,replace,it a little bit- you,"know "".","know"".",Mr. Podger had thanked him,
br-b10,xjur,replace,"color trees purple, hair green,",etc. .,etc..,The other children in the,
br-b11,KXUQ,replace,are still audible in party,circles).,circles.),Note: We've just received an,
br-b11,m0DL,replace,with striking consistency. Now listen,closely.,closely:,Moscow radio from the Literary,
br-b11,lDcE,replace,Literary Gazette in English to,England.,England:,"""President Kennedy once again interpreted",
br-b11,SrOM,replace,and the toast of two,"continents ""."" Remember","continents"" ""Remember",Fanny Brice promised my mother,
br-b12,T9cx,replace,Washington for the last time.,The 350 th,THE 350th,anniversary of the King James,
br-b13,CkXQ,replace,"natural honey hues, along with",lacy,lacey,open weaves with a lustre,
br-b13,oypz,replace,a brighter nautical vein is,Ile,Ille,de France blue. Contrast trim,
br-b13,ai6D,replace,but crisp texture. In a,lacy,lacey,open weave shoes have a,
br-b13,A1rO,replace,when holding the motor. The,brushes,bushes,can be cleaned and sterilized,
br-b13,wLgK,replace,a better job than ordinary,"brushing,","bushing,",especially in those who do,
br-b13,lbok,replace,Roy P. Basler. As a,contemporary,comtemporary,"bonus, the set includes Carl",
br-b13,qY8R,replace,to fortify himself against the,unforeseen,unforseen,upsets sure to arise in,
